PLAYER,NO.,POS,HEIGHT,WEIGHT,BIRTHDATE,AGE,EXP,SCHOOL
Kyle Kuzma,#0,F,6-8,221 lbs,Jul 24 1995,24,2,Utah
Kentavious Caldwell-Pope,#1,G,6-5,204 lbs,Feb 18 1993,26,6,Georgia
Quinn Cook,#2,G,6-1,180 lbs,Mar 23 1993,26,3,Duke
Anthony Davis,#3,F-C,6-10,253 lbs,Mar 11 1993,26,7,Kentucky
Alex Caruso,#4,G,6-5,186 lbs,Feb 28 1994,25,2,Texas A&M
JaVale McGee,#7,C-F,7-0,270 lbs,Jan 19 1988,31,11,Nevada-Reno
Rajon Rondo,#9,G,6-1,180 lbs,Feb 22 1986,33,13,Kentucky
Jared Dudley,#10,F,6-6,237 lbs,Jul 10 1985,34,12,Boston College
Avery Bradley,#11,G,6-3,180 lbs,Nov 26 1990,28,9,Texas
Danny Green,#14,G,6-6,215 lbs,Jun 22 1987,32,10,North Carolina
DeMarcus Cousins,#15,C,6-10,270 lbs,Aug 13 1990,29,9,Kentucky
LeBron James,#23,F,6-9,250 lbs,Dec 30 1984,34,16,No College
Troy Daniels,#30,G,6-4,200 lbs,Jul 15 1991,28,6,Va Commonwealth
Kostas Antetokounmpo,#37,F,6-10,200 lbs,Nov 20 1997,21,1,University of Dayton
Dwight Howard,#39,C-F,6-10,265 lbs,Dec 08 1985,33,15,No College