DATE,OPP,TIME / TV,VENUE,BUY TICKETS
Nov 17 2019,vs Atlanta,9:30 PM,STAPLES Center,Tickets Starting at $74.00
Nov 19 2019,vs Oklahoma City,10:30 pm NBAt,STAPLES Center,Tickets Starting at $58.97
Nov 22 2019,@ Oklahoma City,8:00 PM,Chesapeake Energy Arena,Tickets Starting at $35.00
Nov 23 2019,@ Memphis,8:00 PM,FedExForum,Tickets Starting at $77.66
Nov 25 2019,@ San Antonio,8:30 PM,AT&T Center,Tickets Starting at $50.00
Nov 27 2019,@ New Orleans,9:30 pm ESPN,Smoothie King Center,Tickets Starting at $60.00
Nov 29 2019,vs Washington,10:30 pm NBAt,STAPLES Center,Tickets Starting at $84.00
Dec 1 2019,vs Dallas,4:00 PM,STAPLES Center,Tickets Starting at $96.00
Dec 3 2019,@ Denver,9:00 PM,Pepsi Center,Tickets Starting at $46.56
Dec 4 2019,@ Utah,9:00 pm NBAt,Vivint Smart Home Arena,Tickets Starting at $40.00
Dec 6 2019,@ Portland,10:30 pm ESPN,Moda Center,Tickets Starting at $116.47
Dec 8 2019,vs Minnesota,9:30 PM,STAPLES Center,Tickets Starting at $69.64
Dec 11 2019,@ Orlando,7:00 PM,Amway Center,Tickets Starting at $98.00
Dec 13 2019,@ Miami,8:00 pm ESPN,AmericanAirlines Arena,Tickets Starting at $95.00
Dec 15 2019,@ Atlanta,6:00 PM,State Farm Arena,Tickets Starting at $138.78
Dec 17 2019,@ Indiana,7:00 pm NBAt,Bankers Life Fieldhouse,Tickets Starting at $48.00
Dec 19 2019,@ Milwaukee,8:00 pm TNT,Fiserv Forum,Tickets Starting at $89.95
Dec 22 2019,vs Denver,9:30 pm NBAt,STAPLES Center,Tickets Starting at $107.99
Dec 25 2019,vs L.A. Clippers,8:00 pm ESPN,STAPLES Center,Tickets Starting at $260.00
Dec 28 2019,@ Portland,10:00 PM,Moda Center,Tickets Starting at $131.25
Dec 29 2019,vs Dallas,9:30 PM,STAPLES Center,Tickets Starting at $116.00
Jan 1 2020,vs Phoenix,10:30 PM,STAPLES Center,Tickets Starting at $83.00
Jan 3 2020,vs New Orleans,10:30 pm ESPN,STAPLES Center,Tickets Starting at $133.00
Jan 5 2020,vs Detroit,10:00 PM,STAPLES Center,Tickets Starting at $66.00
Jan 7 2020,vs New York,10:30 pm NBAt,STAPLES Center,Tickets Starting at $59.00
Jan 10 2020,@ Dallas,8:30 PM,American Airlines Center,Tickets Starting at $84.95
Jan 11 2020,@ Oklahoma City,8:00 PM,Chesapeake Energy Arena,Tickets Starting at $51.89
Jan 13 2020,vs Cleveland,10:30 PM,STAPLES Center,Tickets Starting at $53.00
Jan 15 2020,vs Orlando,10:30 PM,STAPLES Center,Tickets Starting at $54.00
Jan 18 2020,@ Houston,8:30 pm ABC,Toyota Center,Tickets Starting at $98.50
Jan 20 2020,@ Boston,7:30 pm TNT,TD Garden,Tickets Starting at $151.47
Jan 22 2020,@ New York,7:30 PM,Madison Square Garden,Tickets Starting at $155.00
Jan 23 2020,@ Brooklyn,8:00 pm TNT,Barclays Center,Tickets Starting at $185.00
Jan 25 2020,@ Philadelphia,8:30 pm ABC,Wells Fargo Center,Tickets Starting at $135.00
Jan 28 2020,vs L.A. Clippers,10:00 pm TNT,STAPLES Center,—
Jan 31 2020,vs Portland,10:30 pm ESPN,STAPLES Center,Tickets Starting at $86.00
Feb 1 2020,@ Sacramento,10:00 PM,Golden 1 Center,Tickets Starting at $130.00
Feb 4 2020,vs San Antonio,10:30 PM,STAPLES Center,Tickets Starting at $62.00
Feb 6 2020,vs Houston,10:30 pm TNT,STAPLES Center,Tickets Starting at $125.00
Feb 8 2020,@ Golden St.,8:30 pm ABC,Chase Center,Tickets Starting at $178.77
Feb 10 2020,vs Phoenix,10:30 pm NBAt,STAPLES Center,Tickets Starting at $58.00
Feb 12 2020,@ Denver,10:00 pm ESPN,Pepsi Center,Tickets Starting at $55.00
Feb 21 2020,vs Memphis,10:30 PM,STAPLES Center,Tickets Starting at $59.00
Feb 23 2020,vs Boston,3:30 pm ABC,STAPLES Center,Tickets Starting at $124.00
Feb 25 2020,vs New Orleans,10:00 PM,STAPLES Center,Tickets Starting at $98.00
Feb 27 2020,@ Golden St.,10:30 pm TNT,Chase Center,Tickets Starting at $167.77
Feb 29 2020,@ Memphis,8:00 PM,FedExForum,Tickets Starting at $80.98
Mar 1 2020,@ New Orleans,8:00 pm ESPN,Smoothie King Center,Tickets Starting at $73.82
Mar 3 2020,vs Philadelphia,10:00 pm TNT,STAPLES Center,Tickets Starting at $87.00
Mar 6 2020,vs Milwaukee,10:30 pm ESPN,STAPLES Center,Tickets Starting at $96.92
Mar 8 2020,@ L.A. Clippers,3:30 pm ABC,STAPLES Center,—
Mar 10 2020,vs Brooklyn,10:30 PM,STAPLES Center,Tickets Starting at $75.00
Mar 12 2020,vs Houston,10:30 pm TNT,STAPLES Center,Tickets Starting at $93.00
Mar 15 2020,vs Denver,9:00 pm ESPN,STAPLES Center,Tickets Starting at $67.00
Mar 16 2020,@ Utah,9:00 PM,Vivint Smart Home Arena,Tickets Starting at $48.00
Mar 18 2020,vs Utah,10:00 pm ESPN,STAPLES Center,Tickets Starting at $68.00
Mar 21 2020,@ Charlotte,7:00 PM,Spectrum Center,Tickets Starting at $72.75
Mar 22 2020,@ Detroit,6:00 PM,Little Caesars Arena,Tickets Starting at $58.00
Mar 24 2020,@ Toronto,7:30 pm TNT,Scotiabank Arena,Tickets Starting at $127.07
Mar 26 2020,@ Cleveland,7:00 PM,Rocket Mortgage Fieldhouse,Tickets Starting at $55.50
Mar 28 2020,@ Washington,8:00 PM,Capital One Arena,Tickets Starting at $97.00
Mar 30 2020,@ Minnesota,8:00 PM,Target Center,Tickets Starting at $54.80
Apr 1 2020,vs Indiana,10:30 PM,STAPLES Center,Tickets Starting at $50.00
Apr 4 2020,@ Sacramento,10:00 PM,Golden 1 Center,Tickets Starting at $98.75
Apr 5 2020,vs Oklahoma City,9:30 pm NBAt,STAPLES Center,Tickets Starting at $59.00
Apr 7 2020,vs Chicago,10:30 PM,STAPLES Center,Tickets Starting at $59.00
Apr 9 2020,vs Golden St.,10:30 pm TNT,STAPLES Center,Tickets Starting at $110.00
Apr 12 2020,vs Minnesota,9:30 pm NBAt,STAPLES Center,Tickets Starting at $54.00
Apr 14 2020,vs Sacramento,10:30 PM,STAPLES Center,Tickets Starting at $46.00
Apr 15 2020,@ Phoenix,10:00 PM,Talking Stick Resort Arena,Tickets Starting at $68.18